City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Lumut,MY,73.42,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
103,Dong Hoi,VN,77.63,few clouds,17.4833,106.6,Nam Long Hotel
104,Cherskiy,RU,41.27,overcast clouds,68.75,161.3,Gostinitsa
105,Harper,LR,75.18,overcast clouds,4.375,-7.7169,Screensaver
106,Mount Isa,AU,65.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
107,Flinders,AU,58.17,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
109,Akureyri,IS,44.53,overcast clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
110,Bethel,US,70.11,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
112,Chiredzi,ZW,68.74,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
113,Cape Town,ZA,57.38,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
114,Jamestown,US,69.94,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
118,Sechura,PE,71.13,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
119,Santiago,CL,58.55,few clouds,-33.4569,-70.6483,Hotel Panamericano
120,Luanda,AO,70.52,clear sky,-8.8368,13.2343,EPIC SANA Luanda
121,Butaritari,KI,82.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
122,Maniitsoq,GL,41.16,light rain,65.4167,-52.9,Hotel Heilmann Lyberth
124,Vallenar,CL,62.91,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
125,Satipo,PE,83.19,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
126,Puerto Ayacucho,VE,80.46,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
128,Zhigansk,RU,32.76,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
129,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,Tapes,BR,53.96,broken clouds,-30.6733,-51.3958,Cabanas Camping Union
131,Severo-Kurilsk,RU,55.49,few clouds,50.6789,156.125,Kak Doma
132,Yalta,UA,68.0,few clouds,44.5,34.1667,Yalta Inturist
134,Port-Cartier,CA,57.74,scattered clouds,50.0334,-66.8654,Le Q'Artier
135,Bafq,IR,80.02,broken clouds,31.6128,55.4107,Alamdar Hotel
136,Turan,VN,76.98,scattered clouds,16.0678,108.2208,Grand Mercure Danang
137,Cangzhou,CN,65.84,clear sky,38.3167,116.8667,Jinji Express Hotel
138,Kaitangata,NZ,49.8,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
139,Norman Wells,CA,59.04,broken clouds,65.282,-126.8329,Heritage Hotel
140,Kavaratti,IN,80.31,overcast clouds,10.5669,72.642,Green leaf
141,Ancud,CL,47.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
142,Ballina,AU,63.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
143,Palamos,ES,75.38,scattered clouds,41.8484,3.1291,Hotel Rosamar
144,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
145,Kirakira,SB,82.51,clear sky,-10.4544,161.9205,SanBiz Lodge
146,Mandalgovi,MN,55.65,scattered clouds,45.7625,106.2708,В.Ганбат
147,Padang,ID,75.6,overcast clouds,-0.9492,100.3543,Mercure Padang
148,Sao Joao Da Barra,BR,69.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
149,Anadyr,RU,45.1,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
151,Tiksi,RU,35.19,overcast clouds,71.6872,128.8694,Arktika
152,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
153,Yeppoon,AU,62.38,clear sky,-23.1333,150.7333,Villa Mar Colina
154,Pelym,RU,43.75,overcast clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
155,Buala,SB,81.99,light rain,-8.145,159.5921,Maringe Lagoon Lodge
156,Benguela,AO,70.02,few clouds,-12.5763,13.4055,Hotel Praia Morena
158,Olafsvik,IS,48.15,broken clouds,64.8945,-23.7142,Hotel Olafsvik
159,Pisco,PE,64.45,dust,-13.7,-76.2167,Hotel San Isidro Oficial
160,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
161,Fort Nelson,CA,62.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
162,Korla,CN,79.56,overcast clouds,41.7597,86.1469,Gulisitan Hotel
163,Magadan,RU,50.77,clear sky,59.5667,150.8,Magadan hotel
164,Bandarbeyla,SO,78.76,scattered clouds,9.4942,50.8122,JABIR HOTEL
165,Bulgan,MN,48.94,scattered clouds,48.8125,103.5347,Unitel Булган салбар
166,Moldova Sulita,RO,47.64,broken clouds,47.6833,25.25,Pensiunea Codrii Bucovinei
167,Quatre Cocos,MU,69.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
168,Machali,CL,52.88,few clouds,-34.1833,-70.6667,Mining House
170,Esperance,AU,61.2,scattered clouds,-33.8667,121.9,Hospitality Esperance
171,Hamilton,US,78.26,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
172,Victoria,HK,84.38,clear sky,22.2855,114.1577,Mini Central
173,Bedele,ET,56.28,moderate rain,8.456,36.353,Central Hotel
174,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
175,Santa Vitoria Do Palmar,BR,49.06,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
176,Tuktoyaktuk,CA,39.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
177,Fukue,JP,79.43,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
178,Durban,ZA,66.02,overcast clouds,-29.8579,31.0292,Hilton Durban
179,Kodiak,US,56.71,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
180,Vicente Guerrero,MX,70.99,overcast clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
182,Maryville,US,81.66,light rain,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
183,Salinopolis,BR,79.27,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
184,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
185,Kuusamo,FI,39.24,clear sky,65.9667,29.1833,Hotel Kuusanka
186,Port Macquarie,AU,58.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
187,Guymon,US,73.4,broken clouds,36.6828,-101.4816,Simple Rewards
188,Arak,IR,65.7,clear sky,34.0917,49.6892,Zagros Hotel
189,Dudinka,RU,36.63,overcast clouds,69.4058,86.1778,Hotel Viktoria
190,Berlevag,NO,42.75,overcast clouds,70.8578,29.0864,Kvitbrakka
191,Lasa,IT,58.08,clear sky,46.6166,10.7002,Pension Feldgärtenhof
192,Broome,US,66.61,mist,42.2506,-75.833,Chenango Valley State Park
193,Luchenza,MW,68.79,clear sky,-16.0069,35.3095,Mbumba Lodge
194,Ambilobe,MG,71.08,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
195,Constitucion,CL,52.84,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
196,Chiang Mai,TH,76.89,light rain,18.75,99.0,Centara Riverside Hotel Chiangmai
197,Hambantota,LK,77.63,few clouds,6.1241,81.1185,Bungalow 63
198,Port Lincoln,AU,52.5,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
199,Bambui,BR,84.79,scattered clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
200,Brewster,US,69.91,light rain,41.3973,-73.6171,Heidi's Inn
201,Bulungu,CD,73.2,light rain,-4.55,18.6,Maison MC Michel
202,Pemangkat,ID,77.54,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
203,Huarmey,PE,64.96,few clouds,-10.0681,-78.1522,Hotel Miramar
204,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
205,Nikolskoye,RU,46.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
206,Bubaque,GW,78.01,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
207,Dingle,PH,74.73,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
208,Pangnirtung,CA,42.13,moderate rain,66.1451,-65.7125,Kilabuk Lodge
209,Arraial Do Cabo,BR,67.86,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
210,Soyo,AO,72.57,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
211,Maryborough,AU,64.11,overcast clouds,-25.5333,152.7,Blue Shades Motel
212,Livny,RU,47.5,overcast clouds,52.4253,37.6069,Gostinitsa Livny Tsentral'naya
213,Vestmannaeyjar,IS,50.52,clear sky,63.4427,-20.2734,Glamping & Camping
214,Muli,MV,81.73,broken clouds,2.9167,73.5667,Medhufushi Island Resort
215,Najran,SA,79.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
216,Myitkyina,MM,72.79,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
217,Fare,PF,79.57,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
218,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
219,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
220,Jalu,LY,82.6,clear sky,29.0331,21.5482,صاحبة الفخامة
221,Cap-Aux-Meules,CA,64.45,few clouds,47.3821,-61.8597,Château Madelinot
222,Mahajanga,MG,69.82,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
223,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
224,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
225,Salta,AR,66.79,clear sky,-24.7859,-65.4117,Hotel Alejandro I
229,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
230,Lityn,UA,53.04,overcast clouds,49.3251,28.0809,«Родинний Затишок»
231,Abnub,EG,79.02,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
232,San Felipe,VE,80.67,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
233,Xilagani,GR,69.19,light rain,40.9833,25.4167,Rōmylía
236,Elizabeth City,US,82.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
237,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
238,Tuy Hoa,VN,75.81,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
239,Udachnyy,RU,34.2,snow,66.4167,112.4,Severnoye Siyaniye
240,Tasiilaq,GL,39.36,overcast clouds,65.6145,-37.6368,The Red House
242,Erdenet,MN,48.15,broken clouds,49.0333,104.0833,Erdenet hotel
243,Nome,US,50.16,mist,64.5011,-165.4064,Dredge 7 Inn
244,Taltal,CL,58.26,broken clouds,-25.4,-70.4833,Residencial Karime
245,Narsaq,GL,46.62,broken clouds,60.9167,-46.05,Sleep In Narsaq
248,Gilgit,PK,68.72,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
249,Khatanga,RU,30.49,broken clouds,71.9667,102.5,"""Khatanga"""
250,Champerico,GT,81.14,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
251,Svetlyy,RU,50.05,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
252,Upernavik,GL,40.24,overcast clouds,72.7868,-56.1549,Café de Upernavik
253,Atuona,PF,76.86,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
254,Mahibadhoo,MV,81.41,few clouds,3.7833,72.9667,Omadhoo Inn
255,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
256,Codrington,AU,48.45,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
257,Tuatapere,NZ,49.68,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
258,Hohhot,CN,52.09,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
259,Umaria,IN,71.89,scattered clouds,23.5333,80.8333,KRISHNA PALACE
260,Beernem,BE,63.36,scattered clouds,51.1515,3.342,Hotel Ten Lande
261,Torbay,CA,59.58,moderate rain,47.6666,-52.7314,Gallows Cove
262,Minggang,CN,66.58,clear sky,32.4586,114.0486,Yindu Hotel
263,Luohe,CN,65.88,clear sky,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
264,Arnprior,CA,74.64,overcast clouds,45.4334,-76.3494,Country Squire Motel
265,Avinurme,EE,46.4,overcast clouds,58.9822,26.8642,Avinurme Hostel
266,Lorengau,PG,81.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Martapura,ID,73.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
268,Nuuk,GL,48.81,broken clouds,64.1835,-51.7216,Vandrehuset
269,Kenai,US,54.09,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
270,Sao Filipe,CV,78.51,scattered clouds,14.8961,-24.4956,Hotel Xaguate
271,Mosquera,CO,64.49,few clouds,4.7059,-74.2302,Hotel SJ
272,Estrella,PH,72.77,overcast clouds,15.75,121.0333,Lawrence Garcia Residences
273,Geraldton,AU,52.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
275,San Policarpo,PH,78.33,broken clouds,12.1791,125.5072,Agapita M. Nicart
276,Bang Saphan,TH,75.15,light rain,11.2126,99.5117,Ladawan Boutique Hotel
278,College,US,59.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
280,Warora,IN,73.67,overcast clouds,20.2333,79.0,Datta mandir ward
281,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
282,Labuhan,ID,77.63,scattered clouds,-6.8844,112.2051,DoubleFAG
284,Nanortalik,GL,43.18,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
285,Asau,RO,58.12,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
286,Coquimbo,CL,58.73,few clouds,-29.9533,-71.3436,Hotel San Juan
288,Talara,PE,64.63,clear sky,-4.5772,-81.2719,Hostal Oro Negro
289,Sabang,ID,81.55,overcast clouds,5.8933,95.3214,Hotel Citra
290,Alice Springs,AU,57.22,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
291,Kontagora,NG,71.37,overcast clouds,10.3999,5.4695,Queens Guest Inn
292,Kiama,AU,58.57,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
293,Hovd,MN,60.69,broken clouds,48.0056,91.6419,Hotel Khovd
294,Paamiut,GL,42.96,light rain,61.994,-49.6678,Pistut
296,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
297,Aklavik,CA,42.3,overcast clouds,68.2191,-135.0107,Aklavik Inn
298,Forio,IT,74.43,clear sky,40.7342,13.8646,Hotel Terme Providence
299,Teluknaga,ID,80.64,mist,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
301,Lisala,CD,69.24,overcast clouds,2.15,21.5167,Guest house Eden
302,Camabatela,AO,64.49,broken clouds,-8.1881,15.375,Comércio e Prestação de Serviços
303,Pedro Carbo,EC,81.95,broken clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
304,Leningradskiy,RU,40.98,clear sky,69.3833,178.4167,Gostinitsa
305,Sao Caetano De Odivelas,BR,75.88,broken clouds,-0.75,-48.02,Lá Kitano
306,Kruisfontein,ZA,52.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
307,Ilulissat,GL,48.22,light intensity shower rain,69.2167,-51.1,Hotel Arctic
308,Ketchikan,US,64.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
309,Upata,VE,74.68,overcast clouds,8.0086,-62.3989,Posada Villa Nela
310,Talnakh,RU,36.21,light rain,69.4865,88.3972,Talnakh Hotel
311,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
312,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
315,Labytnangi,RU,42.1,overcast clouds,66.6572,66.4183,Priuralye Hotel
316,Dengfeng,CN,66.78,clear sky,34.4553,113.0281,Songshan Dihao Hotel
317,Skibbereen,IE,62.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
319,Gimli,CA,77.02,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
320,Durg,IN,74.35,overcast clouds,21.1833,81.2833,MAITRI HOSTEL
321,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
322,Havoysund,NO,44.83,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
323,Ucluelet,CA,68.31,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
324,Xining,CN,48.96,clear sky,36.6167,101.7667,Super Leisure Hotel
325,Pogranichnyy,RU,61.07,broken clouds,44.4064,131.3769,Gostinitsa Merkuriy
326,Mayumba,GA,73.9,overcast clouds,-3.432,10.6554,LIKWALE LODGE
327,Kuyanovo,RU,44.64,overcast clouds,55.8014,54.5372,Санаторий Хазино
330,Killybegs,IE,60.01,overcast clouds,54.6333,-8.45,Tara Hotel
331,Roncq,FR,62.11,broken clouds,50.7533,3.1213,Hôtel Première Classe Lille Roncq
333,Cidreira,BR,55.04,broken clouds,-30.1811,-50.2056,Hotel Castelo
334,Sioux Lookout,CA,68.07,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
335,Massaguet,TD,81.73,broken clouds,12.4755,15.4365,Alwatane
336,Longyearbyen,SJ,35.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
337,Adilabad,IN,73.81,overcast clouds,19.6667,78.5333,Dwaraka Hotel.
339,Mehamn,NO,42.71,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
341,Grindavik,IS,48.15,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
342,Tauranga,NZ,59.94,overcast clouds,-37.6861,176.1667,Hotel On Devonport
343,Banjar,ID,74.21,overcast clouds,-8.19,114.9675,The Hamsa Resort
344,Krasnyy Profintern,RU,39.22,overcast clouds,57.7446,40.435,Парк-отель «Замок Понизовкина»
345,Kharp,RU,40.87,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
346,Gilbues,BR,84.61,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
348,Muroto,JP,80.82,scattered clouds,33.2833,134.15,Oota Ryokan
350,Llanes,ES,74.05,overcast clouds,43.4198,-4.7549,Hotel La Paz
352,Manitouwadge,CA,66.54,overcast clouds,49.1215,-85.8403,Select Inn
353,Mehtar Lam,AF,76.87,clear sky,34.6714,70.2094,Fareed Hakamani
354,Kavieng,PG,82.6,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
355,Tual,ID,80.33,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
356,Flin Flon,CA,73.24,smoke,54.7682,-101.865,Victoria Inn Flin Flon
357,Inuvik,CA,43.56,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
358,Kupino,RU,47.32,moderate rain,54.3663,77.2981,Hotel Sibiria Inn
359,Rapla,EE,44.31,scattered clouds,59.0072,24.7928,Kalevi Turismitalu
360,Ihlow,DE,57.15,overcast clouds,51.8833,13.3333,Heumann
362,Chimbote,PE,64.17,few clouds,-9.0853,-78.5783,Hotel Briliá
363,Swan Hill,AU,49.06,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
364,Mizdah,LY,78.06,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
365,Meadow Lake,US,83.68,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
366,Jibuti,DJ,81.72,light rain,11.5,42.5,Orchid Main Camp Goubet
367,Bac Lieu,VN,75.34,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
368,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
369,Nigde,TR,62.33,clear sky,37.8333,34.75,Kılavuz köyü Texas
370,Mayo,US,79.21,mist,38.8876,-76.5119,Resorts Resource Group International
