City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Paide,EE,2022-09-11 22:21:30,58.8856,25.5572,44.24,81,100,4.63,overcast clouds
60,Ushuaia,AR,2022-09-11 22:17:23,-54.8,-68.3,42.46,61,75,21.85,broken clouds
61,Paita,PE,2022-09-11 22:21:31,-5.0892,-81.1144,66.72,75,4,19.64,clear sky
62,Katherine,AU,2022-09-11 22:21:31,-14.4667,132.2667,79.12,73,0,3.44,clear sky
63,Brae,GB,2022-09-11 22:21:32,60.3964,-1.353,55.74,94,100,12.71,overcast clouds
64,Port Hardy,CA,2022-09-11 22:21:32,50.6996,-127.4199,64.58,72,75,9.22,broken clouds
65,Barrow,US,2022-09-11 22:21:32,71.2906,-156.7887,35.62,93,100,18.41,mist
66,Tilichiki,RU,2022-09-11 22:21:33,60.4667,166.1,45.99,89,100,3.94,light rain
67,Kunyang,CN,2022-09-11 22:21:33,27.6658,120.5658,72.41,70,91,4.47,overcast clouds
68,Port Blair,IN,2022-09-11 22:21:34,11.6667,92.75,80.73,80,99,9.89,overcast clouds
69,Chokurdakh,RU,2022-09-11 22:21:34,70.6333,147.9167,39.2,79,100,6.87,overcast clouds
70,Bluff,NZ,2022-09-11 22:21:34,-46.6,168.3333,48.79,68,100,7.99,overcast clouds
71,Hirara,JP,2022-09-11 22:21:35,24.8,125.2833,79.07,89,75,32.21,broken clouds
72,Dikson,RU,2022-09-11 22:19:16,73.5069,80.5464,35.35,99,100,26.4,light rain
73,Kushiro,JP,2022-09-11 22:21:35,42.975,144.3747,61.75,100,75,3.44,fog
74,Acapulco,MX,2022-09-11 22:21:28,16.8634,-99.8901,84.02,79,75,6.91,broken clouds
75,Bairiki,KI,2022-09-11 22:21:36,1.3292,172.9752,86.0,70,40,9.22,scattered clouds
76,Guerrero Negro,MX,2022-09-11 22:21:36,27.9769,-114.0611,82.62,64,48,10.2,scattered clouds
77,Touros,BR,2022-09-11 22:21:37,-5.1989,-35.4608,77.36,77,70,17.4,broken clouds
78,Le Port,RE,2022-09-11 22:21:37,-20.9373,55.2919,71.89,89,5,4.12,clear sky
79,Eyl,SO,2022-09-11 22:21:37,7.9803,49.8164,78.03,77,48,21.65,scattered clouds
80,Yulara,AU,2022-09-11 22:21:38,-25.2406,130.9889,57.04,82,100,9.22,overcast clouds
81,Sitka,US,2022-09-11 22:21:38,57.0531,-135.33,60.69,63,75,14.97,broken clouds
82,Sokoto,NG,2022-09-11 22:21:38,13.0609,5.239,75.33,87,79,8.08,broken clouds
83,Albany,US,2022-09-11 22:21:39,42.6001,-73.9662,68.23,83,100,2.82,overcast clouds
84,Puerto Leguizamo,CO,2022-09-11 22:21:39,-0.1934,-74.7819,85.33,62,12,1.99,few clouds
85,Fushun,CN,2022-09-11 22:21:39,41.8558,123.9233,60.51,89,8,3.18,clear sky
86,Arica,CL,2022-09-11 22:17:50,-18.475,-70.3042,62.15,72,100,10.36,overcast clouds
87,Carnarvon,AU,2022-09-11 22:21:40,-24.8667,113.6333,64.71,70,78,2.3,broken clouds
88,Ponta Do Sol,PT,2022-09-11 22:21:40,32.6667,-17.1,77.72,86,100,11.7,light rain
89,Gwadar,PK,2022-09-11 22:21:41,25.1216,62.3254,81.48,86,56,10.98,broken clouds
90,Ust-Koksa,RU,2022-09-11 22:21:19,50.2696,85.6108,43.97,86,100,3.62,overcast clouds
91,Punta Arenas,CL,2022-09-11 22:21:41,-53.15,-70.9167,44.71,49,40,25.32,scattered clouds
92,Saint Anthony,US,2022-09-11 22:21:42,45.0205,-93.218,73.65,39,20,9.22,few clouds
93,Avarua,CK,2022-09-11 22:21:42,-21.2078,-159.775,78.85,69,40,8.05,scattered clouds
94,Celestun,MX,2022-09-11 22:21:43,20.8667,-90.4,84.6,71,100,3.06,overcast clouds
95,Vaini,TO,2022-09-11 22:21:43,-21.2,-175.2,80.76,74,20,9.22,few clouds
96,Qaanaaq,GL,2022-09-11 22:21:43,77.484,-69.3632,37.18,98,100,7.92,overcast clouds
97,Naze,JP,2022-09-11 22:21:44,28.3667,129.4833,77.92,84,99,16.49,overcast clouds
98,Faanui,PF,2022-09-11 22:19:16,-16.4833,-151.75,79.14,72,7,16.58,clear sky
99,Bengkulu,ID,2022-09-11 22:17:59,-3.8004,102.2655,74.28,86,81,4.05,broken clouds
100,Miles City,US,2022-09-11 22:21:45,46.4083,-105.8406,81.57,18,0,0.0,clear sky
101,Lumut,MY,2022-09-11 22:21:45,4.2323,100.6298,73.42,94,20,0.0,few clouds
102,Lago Da Pedra,BR,2022-09-11 22:21:45,-4.3333,-45.1667,89.56,29,100,4.63,overcast clouds
103,Dong Hoi,VN,2022-09-11 22:21:46,17.4833,106.6,77.63,89,21,3.6,few clouds
104,Cherskiy,RU,2022-09-11 22:21:46,68.75,161.3,41.27,82,99,5.88,overcast clouds
105,Harper,LR,2022-09-11 22:21:47,4.375,-7.7169,75.18,86,98,7.85,overcast clouds
106,Mount Isa,AU,2022-09-11 22:21:47,-20.7333,139.5,65.97,59,75,0.0,broken clouds
107,Flinders,AU,2022-09-11 22:21:47,-34.5833,150.8552,58.17,56,37,7.0,scattered clouds
108,Ahuimanu,US,2022-09-11 22:21:48,21.4447,-157.8378,85.86,67,75,16.11,broken clouds
109,Akureyri,IS,2022-09-11 22:21:48,65.6835,-18.0878,44.53,93,100,4.61,overcast clouds
